card_type,issuing_bank,card_number,issue_date,expiry_date,billing_date,credit_limit
Japan Credit Bureau,JCB,3578929904017070,42767,50072,6,64000
Japan Credit Bureau,JCB,3538337203668120,40210,44958,18,159900
American Express,USAA,348479199159564,41548,48853,10,172400
Discover,Discover,6011116425251290,42005,44197,3,172300
Discover,Discover,6011481737765280,42675,48519,7,20200
Japan Credit Bureau,JCB,3533289868974450,41000,43556,10,110600
American Express,American Express,370636080346045,42826,50131,15,81600
American Express,American Express,346154722638242,42583,46600,6,19600
American Express,American Express,341397692415761,41730,42826,12,43400
Japan Credit Bureau,JCB,3528619620869260,42370,48580,6,122700
Diners Club International,Diners Club,30169842826353,41153,47362,9,173600
American Express,American Express,378936306909713,41699,42795,13,117500
Discover,Discover,6011671969735230,42552,49126,10,157600
Master Card,Capital One,5477068312955500,39448,43466,25,180200
Discover,Discover,6225337669591170,41974,42705,19,64100
Diners Club International,Diners Club,30570045127384,39722,41183,11,72100
Master Card,Chase,5288086418752260,39356,40817,3,176200
Visa,USAA,4488396922560160,41671,42036,25,115600
Japan Credit Bureau,JCB,3541067338339730,39722,45931,16,132400
Master Card,Bank of America,5203783848344870,41091,47300,12,24000
Japan Credit Bureau,JCB,3528330049872910,42005,42736,23,75100
American Express,American Express,377729894625911,40299,41030,17,169400
Visa,Chase,4546946084940180,40452,46661,7,73700
Master Card,Bank of America,5231766781810070,41030,46874,24,90200
Master Card,Citibank,5416861135751710,42736,46023,6,101500
Diners Club International,Diners Club,38444645955275,40422,47362,22,43100
Discover,Discover,6011088252858510,41334,48639,10,154500
Discover,Discover,6228238115188050,41244,45627,25,60500
American Express,American Express,344690770964941,40057,43709,11,40000
Japan Credit Bureau,JCB,3582029394158410,40299,42856,15,161400
Visa,Chase,4214307304094930,42095,47209,24,123500
Discover,Discover,6011110556957180,41974,47453,2,161900
Diners Club International,Diners Club,30349539953617,39173,39539,28,70500
Master Card,USAA,5466989864677150,42767,44228,24,170900
Diners Club International,Diners Club,30294270329819,42948,45139,7,85500
Diners Club International,Diners Club,30987652931694,40817,42278,17,192100
American Express,American Express,372099261847083,40269,42461,19,60100
Master Card,USAA,5257269810431380,40848,45962,17,127800
Japan Credit Bureau,JCB,3581079210934480,42125,48335,15,54000
Visa,Wells Fargo,4559051615860260,41275,44562,28,178500
Discover,Discover,6011280056838860,39203,43952,14,188200
Master Card,Capital One,5426961909461540,41334,43891,26,169000
Visa,Chase,4076385312623410,39114,44958,8,129900
Discover,Discover,6594519087837280,42826,43191,1,40700
Japan Credit Bureau,JCB,3539316040898310,40118,45597,17,119500
Master Card,U.S. Bancorp,5101067611819370,41640,42005,17,75900
Discover,Discover,6440052774734490,42005,46023,9,67800
Master Card,Citibank,5107509926702500,42826,48670,25,106700
Visa,Capital One,4650571809431040,40969,45717,13,39500
Discover,Discover,6562432583386320,41760,45047,24,135400
Diners Club International,Diners Club,30957690477844,39753,45962,24,181300
Visa,Bank of America,4740102785305240,42401,48976,7,116800
Discover,Discover,6011457496401030,40057,40787,16,175400
Visa,Chase,4747743887807910,42552,46935,16,155400
Discover,Discover,6011369973508900,39387,44136,17,18800
Japan Credit Bureau,JCB,3550969823480550,40483,47788,22,146600
Japan Credit Bureau,JCB,3577966458168790,41275,42005,21,16900
Discover,Discover,6011748856257650,41609,41974,14,56600
Master Card,Chase,5421731258063150,41699,45717,15,146400
American Express,American Express,373936091728034,40057,42979,10,107100
Diners Club International,Diners Club,30116096488075,39661,46600,3,55400
Master Card,U.S. Bancorp,5305482493386850,39295,45870,7,68500
Master Card,Chase,5272756029463070,41699,46813,7,88300
Visa,Chase,4683279480087470,41944,44866,12,72600
Master Card,Bank of America,5335413393035780,42948,49157,28,90900
Master Card,Bank of America,5343839624586600,40391,44044,2,149000
Japan Credit Bureau,JCB,3534564532618410,41974,49279,10,157800
Diners Club International,Diners Club,30357340051976,41122,41487,15,74100
Diners Club International,Diners Club,30296241176617,43070,48914,28,13900
Diners Club International,Diners Club,30448721841877,39661,46600,14,171400
Master Card,Bank of America,5457307145215270,41852,44409,21,121400
Diners Club International,Diners Club,30926968915603,40360,47665,18,166700
Diners Club International,Diners Club,30968657957629,41122,43313,9,154000
Diners Club International,Diners Club,30974078521804,41061,45444,5,103200
Japan Credit Bureau,JCB,3567387572206840,39508,39873,17,83100
Visa,Citibank,4109658807085870,41883,45536,15,155400
Visa,Barclays,4006856136793420,39326,44440,26,101300
American Express,American Express,374099286200720,39417,45627,23,25200
Master Card,Chase,5257003345711690,41395,45778,7,152000
Japan Credit Bureau,JCB,3560466326787000,41306,45689,5,137500
Master Card,Citibank,5483849560427330,40969,48274,8,180600
Discover,Discover,6227585551885870,42186,45474,25,39100
Visa,GE Capital,4354984702725400,40238,41334,8,135500
American Express,American Express,340483156170752,42522,45444,17,52800
American Express,USAA,372611393020973,39539,39904,5,64000
Diners Club International,Diners Club,30974741167092,39448,43101,6,79600
Japan Credit Bureau,JCB,3536740941795780,39814,47119,22,147600
Master Card,Bank of America,5213017372363190,42125,47604,4,148700
Visa,U.S. Bancorp,4153939192551240,41883,48823,28,109800
Master Card,Capital One,5155034949748310,41334,45717,14,99300
Visa,First National,4952796508999210,40969,41699,24,97000
Japan Credit Bureau,JCB,3587481071385800,39203,42856,12,63000
Master Card,Citibank,5164799363123360,42856,44682,1,112800
American Express,Bank of America,375624860718216,42461,48305,5,82000
Diners Club International,Diners Club,30976054282996,39873,46447,15,114800
Diners Club International,Diners Club,30402690477221,39295,45139,5,160700
Discover,Discover,6011102443877630,42248,45901,1,182200
Master Card,Bank of America,5193817568054380,39904,41365,8,26300
Discover,Discover,6011114156604560,42979,48458,3,72700
Japan Credit Bureau,JCB,3560442131182170,40483,46692,26,187600
Visa,Chase,4463863196974180,39083,44562,22,190800
Discover,Discover,6527901370520740,40878,47818,14,182300
Visa,Citibank,4904561174616650,43040,44136,17,160000
Discover,Discover,6464319963708670,39783,40513,11,48900
Discover,Discover,6011462972473020,42370,46023,2,145500
Master Card,Chase,5268523895168920,39448,46023,3,60900
Visa,Barclays,4509562660975320,39753,44501,19,19200
Discover,Discover,6587145374245190,42005,44197,12,196100
Japan Credit Bureau,JCB,3546143477310740,41061,47635,12,164500
Discover,Discover,6011240015448550,42795,44621,14,133800
Diners Club International,Diners Club,30962887160757,42736,43466,15,11700
Visa,Cabela’s WFB,4312020950863890,41609,48183,19,142300
American Express,Bank of America,374830941870907,40940,47880,9,64600
Master Card,Capital One,5297477133587580,42401,46419,24,160000
Diners Club International,Diners Club,30940244088333,41579,43770,23,187500
Discover,Discover,6225039954484200,40940,46784,19,24900
Discover,Discover,6521911057121670,39904,40634,21,35900
American Express,American Express,373464311954413,40634,43191,23,132100
Discover,Discover,6225458739870130,39264,39995,27,170600
Visa,Citibank,4848574473279380,40969,47178,13,61300
Visa,Chase,4158007346872510,40360,44013,13,25000
American Express,American Express,372154811050447,42767,47150,3,40300
Discover,Discover,6011306306490450,40848,41214,15,80700
Diners Club International,Diners Club,30235386605030,39508,42795,12,100600
Diners Club International,Diners Club,30182957874894,41974,48183,24,164300
American Express,U.S. Bancorp,340565121311790,42156,49461,28,101400
Visa,Bank of America,4123014212081510,42217,44774,23,19300
American Express,Bank of America,375062495667484,42064,43160,6,166000
Discover,Discover,6011484562097300,39326,42248,2,51000
Visa,Chase,4548836936282950,42705,48549,1,158500
Japan Credit Bureau,JCB,3569836739905170,42064,45352,20,41700
Japan Credit Bureau,JCB,3583267573569950,40057,42614,21,179600
Visa,GE Capital,4229763847708300,41214,46692,23,140100
American Express,U.S. Bancorp,341332618688795,42095,42461,14,156900
Visa,Citibank,4649391512377380,42795,43891,20,148600
Japan Credit Bureau,JCB,3537183036674690,42278,46296,23,21800
Visa,Chase,4939192814620790,41821,44013,25,10600
Japan Credit Bureau,JCB,3563516399823680,41030,47239,20,152200
Discover,Discover,6011956047569840,42005,46753,1,43500
Japan Credit Bureau,JCB,3529235478609810,40878,45261,1,162000
Master Card,Capital One,5275644188537700,40848,42309,5,69000
Discover,Discover,6011565261355480,42552,44378,26,115000
Discover,Discover,6011863643586160,39417,41244,15,71600
Japan Credit Bureau,JCB,3566106750117240,42491,43586,15,14200
Diners Club International,Diners Club,30598074471803,41913,45566,13,138900
Japan Credit Bureau,JCB,3574464001879650,39264,42552,4,41600
Diners Club International,Diners Club,30950739432847,39326,43344,14,110700
Diners Club International,Diners Club,36371662660847,40238,45717,22,11600
Japan Credit Bureau,JCB,3555546936747530,40118,41944,24,23000
Japan Credit Bureau,JCB,3575726104773700,41214,41579,22,63600
Discover,Discover,6223870618102940,39845,43497,28,159300
Japan Credit Bureau,JCB,3541194142119800,40087,47392,9,77700
Discover,Discover,6545676097177510,40725,46204,4,120400
Visa,First National,4785504965242330,40848,43770,17,98000
American Express,American Express,348873573993483,42186,42917,8,27500
American Express,American Express,373789499893888,41365,46844,16,86000
Diners Club International,Diners Club,30318332529130,42614,44440,14,115100
Japan Credit Bureau,JCB,3552943243447840,42309,48519,22,30900
American Express,American Express,341994383228261,42125,47969,7,61400
Diners Club International,Diners Club,30017026160273,42644,45566,21,189600
Visa,Wells Fargo,4907821877852490,42339,43435,27,38100
Discover,Discover,6452997572318880,39203,44317,5,135200
Visa,Chase,4302179833069640,40544,46388,6,144600
Discover,Discover,6443945630128000,41671,46784,24,25300
American Express,American Express,373894406553268,42736,48580,27,96600
Japan Credit Bureau,JCB,3589498201385630,42736,46388,1,34500
Master Card,GE Capital,5424773490421180,39845,41306,5,95200
Visa,U.S. Bancorp,4430785042253410,40269,45383,12,139900
Japan Credit Bureau,JCB,3544221475770900,41030,45413,12,52700
American Express,American Express,343239346854474,41518,43344,21,140900
Visa,U.S. Bancorp,4794317575731030,39114,41306,22,88100
Master Card,Citibank,5181862336948390,40118,45597,25,165500
American Express,American Express,371789598151735,42583,49522,13,39300
Visa,Chase,4821476256648200,41821,48030,3,186100
Diners Club International,Diners Club,30111991823815,42036,43497,24,178600
Visa,Chase,4821848420590080,41760,43221,20,121100
Japan Credit Bureau,JCB,3575469826962820,42156,48000,20,70200
Japan Credit Bureau,JCB,3534727793382270,41030,46143,20,175700
Discover,Discover,6011334978462190,42583,46235,10,133300
Discover,Discover,6011621246051500,41944,45962,28,33400
American Express,American Express,346977338171012,42583,45139,9,91900
Discover,Discover,6011759823703060,40575,46784,25,59500
Discover,Discover,6011144796981330,40118,45962,18,83500
Discover,Discover,6011318384519430,41334,43525,25,117200
Discover,Discover,6011658095326120,40452,46661,22,34700
Diners Club International,Diners Club,30297147921924,42614,47727,6,74000
American Express,American Express,344609750795158,41913,42278,25,90800
American Express,American Express,349297653699241,40695,45809,15,100200
American Express,American Express,377331253378669,41760,42125,5,140400
Master Card,Citibank,5438528422758200,42614,45901,18,21300
Diners Club International,Diners Club,39208723087114,43009,45931,22,75600
Discover,Discover,6011315654956170,41395,48700,2,155600
